City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Chara,RU,2020-05-29 04:21:38,56.91,118.26,49.51,48,82,2.53
144,Pisco,PE,2020-05-29 04:21:38,-13.7,-76.22,68.0,77,90,6.93
145,Svetlyy,RU,2020-05-29 04:21:38,54.67,20.13,50.0,81,75,13.42
146,Batticaloa,LK,2020-05-29 04:21:38,7.71,81.69,85.51,74,82,4.38
147,Paamiut,GL,2020-05-29 04:17:46,61.99,-49.67,33.71,91,96,17.67
148,Soe,ID,2020-05-29 04:21:39,-9.86,124.28,78.39,71,100,7.27
149,Kalmunai,LK,2020-05-29 04:20:50,7.42,81.82,85.82,72,100,4.23
150,Mandalgovi,MN,2020-05-29 04:21:39,45.76,106.27,41.2,81,100,13.73
151,Lufilufi,WS,2020-05-29 04:21:39,-13.87,-171.6,80.6,94,75,5.82
152,Nikolskoye,RU,2020-05-29 04:21:39,59.7,30.79,53.6,66,0,6.71
153,Waseca,US,2020-05-29 04:21:39,44.08,-93.51,60.01,54,1,9.17
154,Castro,BR,2020-05-29 04:21:39,-24.79,-50.01,44.47,78,0,1.97
155,Pailon,BO,2020-05-29 04:21:39,-17.65,-62.75,60.8,93,96,4.7
156,Krasne,UA,2020-05-29 04:21:40,49.91,24.61,51.8,81,98,8.95
157,Kandava,LV,2020-05-29 04:21:40,57.04,22.77,46.17,77,0,9.71
158,Oranjemund,NA,2020-05-29 04:21:40,-28.55,16.43,55.65,70,0,10.18
159,Sitka,US,2020-05-29 04:21:40,57.05,-135.33,50.0,87,90,14.99
160,Santa Cruz,BO,2020-05-29 04:21:40,-17.8,-63.17,60.8,93,73,4.7
161,Cidreira,BR,2020-05-29 04:20:18,-30.18,-50.21,60.76,86,0,9.08
162,Souillac,MU,2020-05-29 04:21:40,-20.52,57.52,77.0,73,40,12.75
163,Komsomolskiy,UZ,2020-05-29 04:21:41,40.43,71.72,73.4,46,15,4.7
164,Tuatapere,NZ,2020-05-29 04:21:41,-46.13,167.68,55.13,73,47,1.43
165,Thompson,CA,2020-05-29 04:19:51,55.74,-97.86,35.6,93,90,3.36
166,Erzin,TR,2020-05-29 04:21:41,36.96,36.2,66.99,73,37,6.53
167,Sao Felix Do Xingu,BR,2020-05-29 04:21:41,-6.64,-51.99,71.4,94,53,1.03
168,Maykor,RU,2020-05-29 04:21:41,59.01,55.88,58.32,67,0,6.6
169,Zhigansk,RU,2020-05-29 04:21:41,66.77,123.37,41.32,61,100,11.81
170,Krasnoselkup,RU,2020-05-29 04:21:41,65.7,82.47,58.37,38,98,15.68
171,Bone,DE,2020-05-29 04:21:41,51.97,12.14,44.01,91,62,4.18
172,Uzhur,RU,2020-05-29 04:21:42,55.3,89.83,55.02,50,24,3.69
173,Paralimni,CY,2020-05-29 04:21:42,35.04,33.98,66.2,59,20,2.24
174,Lucea,JM,2020-05-29 04:21:42,18.45,-78.17,82.4,78,40,4.7
175,Laguna,US,2020-05-29 04:21:42,38.42,-121.42,80.6,44,1,12.75
176,Benito Juarez,MX,2020-05-29 04:21:42,19.39,-99.17,59.0,72,90,3.36
177,Bengkulu,ID,2020-05-29 04:21:42,-3.8,102.27,85.6,63,0,4.7
178,Tiksi,RU,2020-05-29 04:21:42,71.69,128.87,30.49,98,100,13.49
179,Portland,US,2020-05-29 04:20:54,45.52,-122.68,79.0,41,40,9.17
180,Pevek,RU,2020-05-29 04:21:42,69.7,170.31,37.0,80,0,20.38
181,Juneau,US,2020-05-29 04:21:43,58.3,-134.42,62.6,42,75,1.3
182,Anuradhapura,LK,2020-05-29 04:21:43,8.36,80.42,84.74,69,99,12.19
183,Impfondo,CG,2020-05-29 04:21:43,1.64,18.07,71.96,97,90,1.36
184,Chokurdakh,RU,2020-05-29 04:21:43,70.63,147.92,59.45,32,86,22.93
185,Macusani,PE,2020-05-29 04:21:43,-14.08,-70.43,31.37,89,52,1.25
186,Lithakia,GR,2020-05-29 04:21:44,37.72,20.83,57.0,87,20,3.36
187,Bezhanitsy,RU,2020-05-29 04:21:44,56.98,29.89,47.88,85,12,7.4
188,Port Macquarie,AU,2020-05-29 04:19:51,-31.43,152.92,64.0,88,2,1.01
189,Port-Gentil,GA,2020-05-29 04:21:44,-0.72,8.78,78.89,83,96,13.29
190,Catamarca,AR,2020-05-29 04:21:44,-28.47,-65.79,59.0,66,0,1.01
191,Virginia Beach,US,2020-05-29 04:19:10,36.85,-75.98,73.99,94,75,9.17
192,Ahipara,NZ,2020-05-29 04:21:44,-35.17,173.17,62.53,84,45,5.37
193,Thurso,GB,2020-05-29 04:21:44,58.59,-3.53,50.0,93,99,5.82
194,Mahebourg,MU,2020-05-29 04:21:45,-20.41,57.7,77.0,73,40,12.75
195,Calbuco,CL,2020-05-29 04:21:45,-41.77,-73.13,35.6,93,75,1.12
196,Ola,RU,2020-05-29 04:21:45,59.58,151.28,39.52,81,97,11.05
197,Oranjestad,AW,2020-05-29 04:21:45,12.52,-70.03,80.6,83,20,17.22
198,Marawi,PH,2020-05-29 04:21:11,8.0,124.29,84.99,79,93,8.01
199,Bafoulabe,ML,2020-05-29 04:21:45,13.81,-10.83,92.16,32,16,2.39
200,Sorland,NO,2020-05-29 04:21:45,67.67,12.69,44.6,100,20,16.11
201,Vangaindrano,MG,2020-05-29 04:21:45,-23.35,47.6,69.21,92,18,4.88
202,Geraldton,AU,2020-05-29 04:21:46,-28.77,114.6,71.6,60,59,17.22
203,Skjervoy,NO,2020-05-29 04:21:46,70.03,20.97,42.17,83,100,15.95
204,Mandera,KE,2020-05-29 04:21:46,3.94,41.87,78.49,71,0,12.95
205,Beringovskiy,RU,2020-05-29 04:21:46,63.05,179.32,36.21,96,99,11.54
206,Pangai,TO,2020-05-29 04:21:46,-19.8,-174.35,80.6,69,20,4.7
207,Bethel,US,2020-05-29 04:21:46,41.37,-73.41,68.0,94,90,6.93
208,Ulaangom,MN,2020-05-29 04:21:46,49.98,92.07,56.05,35,0,9.06
209,Mana,GF,2020-05-29 04:21:46,5.66,-53.78,77.67,89,100,10.09
210,Canguaretama,BR,2020-05-29 04:21:46,-6.38,-35.13,77.0,94,40,3.36
211,Carnarvon,AU,2020-05-29 04:21:47,-24.87,113.63,68.18,53,7,6.4
212,Victor Harbor,AU,2020-05-29 04:21:47,-35.57,138.62,64.0,55,0,1.01
213,Chitral,PK,2020-05-29 04:21:47,35.85,71.79,73.0,26,39,2.8
214,Moffat,GB,2020-05-29 04:21:47,55.33,-3.45,55.99,51,34,1.01
215,Buala,SB,2020-05-29 04:21:47,-8.14,159.59,85.84,66,43,4.45
216,Marsaxlokk,MT,2020-05-29 04:21:47,35.84,14.54,64.99,88,40,3.36
217,Homer,US,2020-05-29 04:21:48,59.64,-151.55,68.0,30,75,6.93
218,Maridi,SS,2020-05-29 04:21:48,4.92,29.47,67.75,94,66,3.15
219,Alice Springs,AU,2020-05-29 04:21:48,-23.7,133.88,68.0,24,0,8.05
220,Pundaguitan,PH,2020-05-29 04:21:48,6.37,126.17,84.18,74,85,7.9
221,Talnakh,RU,2020-05-29 04:21:48,69.49,88.4,44.6,66,75,6.71
222,Magugu,TZ,2020-05-29 04:21:48,-4.02,35.77,61.34,88,84,1.74
223,Georgetown,MY,2020-05-29 04:19:53,5.41,100.34,82.4,83,20,9.17
224,Poum,NC,2020-05-29 04:21:48,-20.23,164.02,76.44,78,3,8.48
225,Denpasar,ID,2020-05-29 04:20:33,-8.65,115.22,84.2,94,40,4.7
226,Gogrial,SS,2020-05-29 04:21:49,8.53,28.1,78.39,68,76,2.68
227,Maryville,US,2020-05-29 04:16:49,35.76,-83.97,69.01,88,40,3.58
228,Kodiak,US,2020-05-29 04:20:03,57.79,-152.41,55.4,54,75,5.82
229,Kavieng,PG,2020-05-29 04:20:09,-2.57,150.8,83.97,69,98,0.63
230,Victoria,HK,2020-05-29 04:21:49,22.29,114.16,87.8,70,40,9.17
231,Santa Ana,US,2020-05-29 04:20:45,33.75,-117.87,64.99,77,40,5.82
232,Altea,ES,2020-05-29 04:21:49,38.6,-0.05,64.99,38,0,6.58
233,Wadi Musa,JO,2020-05-29 04:21:49,30.32,35.48,51.37,68,1,10.71
234,Coquimbo,CL,2020-05-29 04:21:50,-29.95,-71.34,55.4,87,95,3.36
235,Padang,ID,2020-05-29 04:18:06,-0.95,100.35,86.68,64,80,4.03
236,Guaruja,BR,2020-05-29 04:21:50,-23.99,-46.26,64.0,100,0,4.03
237,Mount Isa,AU,2020-05-29 04:21:50,-20.73,139.5,80.6,19,27,10.29
238,Port Lincoln,AU,2020-05-29 04:21:50,-34.73,135.87,65.25,45,0,15.77
239,Lorengau,PG,2020-05-29 04:20:03,-2.02,147.27,86.36,65,30,5.55
240,Vestmanna,FO,2020-05-29 04:21:50,62.16,-7.17,50.0,100,100,9.17
241,Half Moon Bay,US,2020-05-29 04:18:22,37.46,-122.43,64.4,93,90,8.05
242,Huaicheng,CN,2020-05-29 04:21:50,23.91,112.19,85.44,76,65,3.69
243,Airai,TL,2020-05-29 04:21:51,-8.93,125.41,70.84,87,100,3.56
244,Markova,UA,2020-05-29 04:21:51,48.68,24.41,48.45,94,100,8.63
245,Navalcarnero,ES,2020-05-29 04:21:51,40.29,-4.01,64.0,55,0,2.24
246,Launceston,AU,2020-05-29 04:21:51,-41.45,147.17,57.99,82,90,17.22
247,Slonim,BY,2020-05-29 04:21:51,53.09,25.32,49.8,89,77,13.65
248,Kahului,US,2020-05-29 04:21:51,20.89,-156.47,80.6,61,40,20.8
249,Bredasdorp,ZA,2020-05-29 04:21:51,-34.53,20.04,60.8,87,99,10.29
250,Gien,FR,2020-05-29 04:21:51,47.69,2.63,52.0,81,0,7.92
251,Biak,ID,2020-05-29 04:21:51,-0.91,122.88,83.62,74,100,6.04
252,Leningradskiy,RU,2020-05-29 04:20:04,69.38,178.42,37.92,81,18,7.45
253,Chuy,UY,2020-05-29 04:20:16,-33.7,-53.46,54.82,86,0,7.02
254,Bandar-E Lengeh,IR,2020-05-29 04:21:52,26.56,54.88,89.6,75,0,4.7
255,Katsuura,JP,2020-05-29 04:21:52,35.13,140.3,82.99,57,20,8.05
256,Naryan-Mar,RU,2020-05-29 04:20:20,67.67,53.09,51.57,55,92,8.68
257,Saint Joseph,US,2020-05-29 04:21:52,39.77,-94.85,64.0,88,1,3.36
258,Tabou,CI,2020-05-29 04:21:52,4.42,-7.35,78.22,89,100,2.53
259,Mananjary,MG,2020-05-29 04:21:52,-21.22,48.33,69.58,89,21,4.68
260,Ninghai,CN,2020-05-29 04:21:53,29.29,121.42,81.0,69,100,4.47
261,Kokopo,PG,2020-05-29 04:21:53,-4.35,152.26,83.23,77,91,4.52
262,Sinnamary,GF,2020-05-29 04:21:53,5.38,-52.95,78.21,88,99,10.8
263,Caravelas,BR,2020-05-29 04:21:53,-17.71,-39.25,70.84,82,0,10.11
264,Roald,NO,2020-05-29 04:20:35,62.58,6.13,48.0,75,7,5.82
265,Bansang,GM,2020-05-29 04:21:53,13.43,-14.65,77.63,56,0,5.46
266,Saldanha,ZA,2020-05-29 04:21:53,-33.01,17.94,59.0,87,99,4.7
267,Placido De Castro,BR,2020-05-29 04:21:53,-10.34,-67.19,68.23,78,100,1.43
268,Inhambane,MZ,2020-05-29 04:21:53,-23.86,35.38,61.72,82,0,6.13
269,Honiara,SB,2020-05-29 04:17:08,-9.43,159.95,80.6,94,75,6.93
270,Sao Filipe,CV,2020-05-29 04:21:54,14.9,-24.5,75.33,73,32,1.39
271,Abu Road,IN,2020-05-29 04:21:54,24.48,72.78,89.2,54,40,15.79
272,Shache,CN,2020-05-29 04:21:54,38.42,77.24,84.74,14,20,14.92
273,Itaituba,BR,2020-05-29 04:21:54,-4.28,-55.98,78.8,94,20,0.76
274,Phan Thong,TH,2020-05-29 04:21:54,13.47,101.1,95.0,74,84,7.02
275,Pavlovskaya Sloboda,RU,2020-05-29 04:21:54,55.82,37.08,57.0,93,75,8.95
276,Maniitsoq,GL,2020-05-29 04:21:54,65.42,-52.9,33.46,91,86,3.06
277,Broken Hill,AU,2020-05-29 04:21:54,-31.95,141.43,66.2,32,0,8.05
278,Pringsewu,ID,2020-05-29 04:21:55,-5.36,104.97,89.22,57,41,2.77
279,Miraflores,MX,2020-05-29 04:21:55,19.22,-98.81,59.0,72,90,3.36
280,Puerto Escondido,MX,2020-05-29 04:19:19,15.85,-97.07,82.42,68,31,4.43
281,Barvinkove,UA,2020-05-29 04:21:55,48.91,37.02,63.54,92,100,3.67
282,Hasaki,JP,2020-05-29 04:21:55,35.73,140.83,84.0,47,20,3.36
283,Kendari,ID,2020-05-29 04:21:55,-3.94,122.5,87.06,64,85,4.76
284,Lerwick,GB,2020-05-29 04:18:38,60.15,-1.15,50.0,87,89,4.7
285,Beberibe,BR,2020-05-29 04:20:40,-4.18,-38.13,75.2,94,40,5.82
286,Bambous Virieux,MU,2020-05-29 04:21:56,-20.34,57.76,77.0,73,40,12.75
287,Torbay,CA,2020-05-29 04:21:56,47.67,-52.73,53.01,93,40,16.11
288,Hambantota,LK,2020-05-29 04:21:56,6.12,81.12,86.0,84,40,14.99
289,Grootfontein,NA,2020-05-29 04:21:56,-19.57,18.12,45.43,55,0,2.39
290,Beloha,MG,2020-05-29 04:21:56,-25.17,45.05,62.83,97,7,2.73
291,Narragansett,US,2020-05-29 04:21:56,41.45,-71.45,66.99,93,90,13.87
292,Krasyukovskaya,RU,2020-05-29 04:21:56,47.55,40.11,68.0,64,20,15.66
293,Rio Grande,BR,2020-05-29 04:21:56,-32.03,-52.1,52.0,97,0,7.83
294,Valleyview,CA,2020-05-29 04:21:56,55.07,-117.29,52.41,60,94,8.97
295,Thinadhoo,MV,2020-05-29 04:21:56,0.53,72.93,78.58,87,100,30.49
296,Lompoc,US,2020-05-29 04:17:39,34.64,-120.46,59.0,87,90,5.82
297,Deputatskiy,RU,2020-05-29 04:21:57,69.3,139.9,36.91,96,100,5.32
298,Saint-Philippe,RE,2020-05-29 04:21:57,-21.36,55.77,73.4,64,36,4.7
299,Kollam,IN,2020-05-29 04:17:11,8.88,76.6,86.0,74,40,2.24
300,Alta Floresta,BR,2020-05-29 04:21:57,-9.88,-56.09,70.14,94,100,1.59
301,Balabac,PH,2020-05-29 04:21:57,7.99,117.06,88.54,67,79,12.37
302,Bontang,ID,2020-05-29 04:21:57,0.13,117.5,78.37,86,100,2.26
303,Narsaq,GL,2020-05-29 04:21:57,60.92,-46.05,41.0,83,75,8.05
304,Farah,AF,2020-05-29 04:21:58,32.5,62.5,84.67,17,0,10.6
305,Mudon,MM,2020-05-29 04:21:58,16.26,97.72,89.26,60,100,3.89
306,Changli,CN,2020-05-29 04:21:58,39.7,119.15,82.0,13,24,9.91
