City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Bambous Virieux,MU,79.0,scattered clouds,-20.34,57.76,Casa Tia Villa
Kaniama,CD,73.69,broken clouds,-7.57,24.18,
Kroya,ID,86.74,broken clouds,-7.63,109.25,RUSTANTO Fam
Yei,SS,73.22,broken clouds,4.09,30.68,City Link Hotel
Tuban,ID,83.91,overcast clouds,-6.9,112.06,Hotel Mustika
Abu Zabad,SD,88.29,clear sky,12.35,29.25,محي الدين نوري
Pokhara,NP,87.03,light rain,28.23,83.98,Hotel View Point
Ippy,CF,73.72,broken clouds,6.27,21.22,
Akyab,MM,87.01,broken clouds,20.15,92.9,Hotel Memory
Kabalo,CD,74.64,few clouds,-6.05,26.92,
Massaguet,TD,89.6,broken clouds,12.48,15.44,Alwatane
Zhicheng,CN,88.61,clear sky,30.3,111.5,Wangjiang Building
Saint Pete Beach,US,81.0,broken clouds,27.73,-82.74,TradeWinds Island Grand Resort
Sandakan,MY,89.6,few clouds,5.84,118.12,Hotel Sandakan
Chalus,IR,71.6,few clouds,36.66,51.42,نظام مهندسي ساختمان چالوس
Metro,ID,88.16,light rain,-5.11,105.31,OYO 3177 Wisma Lintang
